gene	cabbage1	cabbage2	kale1	kale2	kale3	TO10001	TO10002	TO10003
Bo1g001000	Bo1g001000	0	0	0	1	2	0	0	0
Bo1g001010	Bo1g001010	0	0	38	18	17	0	5	5
Bo1g001020	Bo1g001020	0	0	22	10	11	0	4	10
Bo1g001030	Bo1g001030	34	48	96	74	57	56	57	64
Bo1g001040	Bo1g001040	1350	3488	3731	2287	1530	1665	2486	2271
Bo1g001050	Bo1g001050	17	36	54	29	50	217	305	311
Bo1g001060	Bo1g001060	19	32	129	69	56	227	204	211
Bo1g001070	Bo1g001070	0	0	0	0	0	1	2	1
Bo1g001080	Bo1g001080	15	15	41	17	31	11	20	12
Bo1g001090	Bo1g001090	566	1135	1083	692	425	615	919	934
Bo1g001100	Bo1g001100	26	71	121	87	98	116	117	109
Bo1g001110	Bo1g001110	0	0	2	0	12	0	4	2
Bo1g001120	Bo1g001120	0	1	0	0	16	6	12	12
Bo1g001130	Bo1g001130	2	4	4	3	7	2	5	5
Bo1g001140	Bo1g001140	7	12	26	10	16	17	61	74
Bo1g002160	Bo1g002160	80	107	170	71	110	195	124	99
Bo1g002170	Bo1g002170	333	432	988	917	592	644	1011	1086
Bo1g002180	Bo1g002180	5	5	5	5	7	16	15	10
Bo1g002190	Bo1g002190	153	252	634	396	367	501	454	391
Bo1g002200	Bo1g002200	203	451	722	456	321	662	651	545
Bo1g002210	Bo1g002210	0	1	3	1	12	15	17	12
Bo1g002220	Bo1g002220	89	278	212	229	96	293	304	299
Bo1g002230	Bo1g002230	86	190	202	95	75	116	130	147
Bo1g002240	Bo1g002240	368	746	389	319	183	693	965	823
Bo1g002250	Bo1g002250	3	4	98	83	82	7	33	29
Bo1g002260	Bo1g002260	2904	5711	7750	4844	4487	4827	6279	5720
Bo1g002270	Bo1g002270	19	70	42	20	23	37	36	23
Bo1g002280	Bo1g002280	0	0	0	0	2	0	0	4
Bo1g002290	Bo1g002290	0	0	0	0	0	0	1	1
Bo1g002300	Bo1g002300	23	59	36	58	28	50	92	102
Bo1g002310	Bo1g002310	16	17	24	24	13	16	30	24
Bo1g002320	Bo1g002320	6	1	1	2	0	0	1	0
Bo1g002330	Bo1g002330	1	2	0	3	1	6	3	5
Bo1g002340	Bo1g002340	82	269	545	458	361	342	317	319
Bo1g002350	Bo1g002350	194	425	724	437	346	357	685	619
Bo1g002360	Bo1g002360	0	0	0	0	2	0	0	0
Bo1g002370	Bo1g002370	0	0	3	5	17	4	9	10
Bo1g002410	Bo1g002410	11	15	34	29	22	21	37	44
Bo1g002420	Bo1g002420	678	1799	1459	1014	628	862	1173	1062
Bo1g002440	Bo1g002440	242	522	262	270	144	462	691	553
Bo1g002450	Bo1g002450	0	0	66	36	22	0	1	0
Bo1g002460	Bo1g002460	6	38	71	113	213	126	203	229
Bo1g002470	Bo1g002470	22	25	15	15	10	32	31	27
Bo1g002480	Bo1g002480	6	9	17	15	12	10	23	16
Bo1g002490	Bo1g002490	0	0	0	0	2	0	2	1
Bo1g002500	Bo1g002500	115	329	785	541	615	606	693	586
Bo1g002510	Bo1g002510	2	15	1	0	3	3	5	14
MissingGeneID	MissingGeneID	634	1233	1491	1056	1508	5327	9345	7551
Bo1g002520	Bo1g002520	23	90	96	78	49	85	102	87
Bo1g002530	Bo1g002530	26	80	121	95	89	110	139	132
Bo1g002540	Bo1g002540	9	40	15	13	11	44	23	22
Bo1g002550	Bo1g002550	18	49	109	66	61	130	120	117
Bo1g002560	Bo1g002560	22	38	32	26	19	4	7	8
Bo1g002570	Bo1g002570	225	573	469	409	207	402	430	398
Bo1g002590	Bo1g002590	167	265	354	279	182	330	289	247
Bo1g002600	Bo1g002600	42	89	144	70	30	228	320	318
Bo1g002610	Bo1g002610	11	17	26	22	15	30	37	35
Bo1g002620	Bo1g002620	23	56	95	53	31	82	88	104
Bo1g002630	Bo1g002630	33	69	30	35	21	41	101	87
Bo1g002640	Bo1g002640	0	0	0	0	2	1	5	8
Bo1g002650	Bo1g002650	0	3	7	4	3	5	12	14
Bo1g002670	Bo1g002670	74	161	284	260	196	396	428	463
Bo1g002680	Bo1g002680	0	0	0	0	0	2	9	5
Bo1g002690	Bo1g002690	62	112	154	111	78	165	170	178
Bo1g002700	Bo1g002700	0	2	0	0	0	0	6	2
Bo1g002710	Bo1g002710	0	0	0	0	0	0	2	1
Bo1g002720	Bo1g002720	47	108	78	107	71	34	47	68
Bo1g002730	Bo1g002730	370	742	690	461	344	400	439	411
Bo1g002740	Bo1g002740	0	0	2	0	1	0	0	0
Bo1g002750	Bo1g002750	104	318	262	189	132	301	331	313
Bo1g002760	Bo1g002760	4	13	15	6	5	10	6	11
Bo1g002770	Bo1g002770	506	1020	1483	1031	931	1098	1333	1280
Bo1g002780	Bo1g002780	2	3	6	1	4	2	6	3
Bo1g002790	Bo1g002790	0	0	3	0	0	4	5	4
Bo1g002800	Bo1g002800	0	0	0	0	1	1	5	4
Bo1g002810	Bo1g002810	38	68	41	51	35	53	27	26
Bo1g002840	Bo1g002840	7	4	9	4	6	5	20	12
Bo1g002850	Bo1g002850	20	33	38	30	22	73	78	63
Bo1g002860	Bo1g002860	0	0	6	2	3	0	0	3
Bo1g002870	Bo1g002870	1407	2954	1553	1035	772	1441	2604	2449
Bo1g002880	Bo1g002880	3	5	3	4	2	13	6	4
Bo1g002890	Bo1g002890	1	3	20	12	9	124	160	184
Bo1g002900	Bo1g002900	36	105	136	112	77	132	151	108
Bo1g002910	Bo1g002910	432	951	549	523	210	526	772	651
Bo1g002920	Bo1g002920	0	0	0	0	4	0	2	2
Bo1g002930	Bo1g002930	212	403	317	208	112	443	768	678
Bo1g002940	Bo1g002940	683	1498	1470	693	421	912	1102	1033
Bo1g002950	Bo1g002950	111	317	314	181	140	365	331	270
Bo1g002960	Bo1g002960	150	446	62	37	18	59	166	145
Bo1g002970	Bo1g002970	327	1370	186	217	89	178	576	618
Bo1g002980	Bo1g002980	2	15	12	12	5	53	40	63
Bo1g002990	Bo1g002990	205	430	740	499	332	660	811	828
Bo1g003000	Bo1g003000	0	0	1	0	5	10	13	7
Bo1g003010	Bo1g003010	486	1375	1730	1042	642	991	1399	1342
Bo1g003020	Bo1g003020	39	67	126	95	50	142	182	168
Bo1g003040	Bo1g003040	0	4	3	3	0	6	9	12
Bo1g003050	Bo1g003050	23	61	16	27	24	162	124	114
Bo1g003060	Bo1g003060	3	6	0	0	3	8	9	2
Bo1g003070	Bo1g003070	0	0	0	1	1	1	25	8
Bo1g003080	Bo1g003080	4442	10973	7423	5505	3384	7001	10103	8600
Bo1g003090	Bo1g003090	341	1297	1693	962	774	942	1502	1195
Bo1g003100	Bo1g003100	101	217	243	133	123	146	198	165
Bo1g003110	Bo1g003110	60	171	171	170	129	257	264	242
Bo1g003120	Bo1g003120	0	0	0	0	0	2	5	1
Bo1g003130	Bo1g003130	758	2216	1269	795	463	893	1443	1305
Bo1g003140	Bo1g003140	0	0	0	0	2	0	1	1
Bo1g003150	Bo1g003150	3	3	5	6	2	8	17	16
Bo1g003160	Bo1g003160	12	19	0	1	0	0	16	10
Bo1g003170	Bo1g003170	43	89	79	33	18	64	89	66
Bo1g003180	Bo1g003180	3	25	24	19	17	35	44	53
Bo1g003190	Bo1g003190	49	121	174	118	80	96	171	136
Bo1g003200	Bo1g003200	1	0	1	1	0	0	7	5
Bo1g003210	Bo1g003210	88	222	224	187	105	220	294	313
Bo1g003220	Bo1g003220	6	23	44	26	17	16	19	17
Bo1g003230	Bo1g003230	28	78	260	138	110	91	148	138
Bo1g003240	Bo1g003240	1	10	10	0	5	8	8	7
Bo1g003250	Bo1g003250	2	0	39	34	22	179	170	144
Bo1g003270	Bo1g003270	0	0	0	0	1	1	0	2
Bo1g003280	Bo1g003280	0	3	1	0	2	0	1	1
Bo1g003290	Bo1g003290	2601	5430	5652	4091	3689	3957	3863	3677
Bo1g003300	Bo1g003300	272	656	406	348	190	206	273	220
Bo1g003310	Bo1g003310	75	170	227	232	130	433	437	447
Bo1g003320	Bo1g003320	169	474	437	270	174	333	425	366
Bo1g003330	Bo1g003330	1132	4297	5180	4214	2866	2528	3210	2948
Bo1g003340	Bo1g003340	0	0	0	0	1	0	2	0
Bo1g003350	Bo1g003350	0	0	0	0	0	1	1	0
Bo1g003370	Bo1g003370	0	0	0	0	2	3	9	5
Bo1g003380	Bo1g003380	3	8	83	88	60	196	230	196
Bo1g003390	Bo1g003390	1	9	9	14	4	26	42	22
Bo1g003400	Bo1g003400	17	34	15	16	28	38	59	48
Bo1g003410	Bo1g003410	0	0	52	32	29	0	2	0
Bo1g003430	Bo1g003430	0	1	9	2	7	1	4	2
Bo1g003440	Bo1g003440	269	729	793	556	426	499	652	634
Bo1g003450	Bo1g003450	25	69	61	63	34	75	107	84
Bo1g003460	Bo1g003460	116	289	261	220	131	168	211	200
Bo1g003470	Bo1g003470	14	27	18	13	7	12	21	19
Bo1g003480	Bo1g003480	56	153	216	127	96	174	195	182
Bo1g003490	Bo1g003490	47	97	189	120	101	173	176	163
Bo1g003500	Bo1g003500	32	42	37	58	60	113	134	145
Bo1g003510	Bo1g003510	1	1	2	0	4	1	1	3
Bo1g003520	Bo1g003520	3	5	22	14	13	26	33	30
Bo1g003530	Bo1g003530	142	382	460	359	221	280	288	206
Bo1g003540	Bo1g003540	418	1106	1270	942	651	367	398	345
Bo1g003550	Bo1g003550	12	42	53	13	23	16	21	17
Bo1g003560	Bo1g003560	0	0	0	0	0	0	1	1
Bo1g003570	Bo1g003570	5	15	28	17	7	24	20	25
Bo1g003580	Bo1g003580	518	1135	1003	762	527	1268	1417	1235
Bo1g003600	Bo1g003600	41	89	238	168	204	212	168	196
Bo1g003610	Bo1g003610	56	105	116	127	86	60	96	104
Bo1g003620	Bo1g003620	12	29	15	19	18	11	17	21
Bo1g003630	Bo1g003630	8	24	26	28	18	2	22	12
Bo1g003650	Bo1g003650	32	112	77	39	23	215	186	164
Bo1g003660	Bo1g003660	0	0	0	0	0	2	7	1
Bo1g003680	Bo1g003680	11	29	39	21	14	9	30	28
Bo1g003710	Bo1g003710	1	0	5	0	1	0	0	1
Bo1g003720	Bo1g003720	0	0	1	0	0	61	52	45
Bo1g003730	Bo1g003730	0	0	2	1	10	7	3	8
Bo1g004730	Bo1g004730	4	12	54	35	33	63	253	262
Bo1g004740	Bo1g004740	4	5	0	1	3	0	6	4
Bo1g004750	Bo1g004750	0	0	7	10	7	4	7	3
Bo1g004760	Bo1g004760	32	118	36	42	18	37	81	63
Bo1g004770	Bo1g004770	220	457	516	283	283	217	300	271
Bo1g004780	Bo1g004780	0	0	0	1	2	3	4	5
Bo1g004790	Bo1g004790	0	0	1	1	1	0	1	0
Bo1g004800	Bo1g004800	0	0	2	5	1	0	0	0
Bo1g004820	Bo1g004820	7	38	23	14	7	1	1	4
Bo1g004830	Bo1g004830	1	2	1	14	41	19	68	69
Bo1g004840	Bo1g004840	4	6	100	85	45	43	48	52
Bo1g004850	Bo1g004850	0	0	0	0	0	0	2	3
